numero,pregunta,tipo,opciones,respuesta_correcta,justificacion
172,"Si toco un cable de fase pelado, estoy sufriendo un contacto...",multiple,Directo|Indirecto|Inducido|Capacitivo,Directo,Tocar partes activas es contacto directo. Tocar carcasa con fuga es indirecto.
173,El grado de protección IK mide...,multiple,Resistencia a impactos mecánicos|Protección contra agua|Aislamiento térmico|Protección solar,Resistencia a impactos mecánicos,Escala IK00 a IK10 (martillazo).
174,Un diferencial de 30mA se considera de...,multiple,Alta sensibilidad|Baja sensibilidad|Industrial|Retardado,Alta sensibilidad,Protege a las personas (fibrilación). 300mA es para riesgo incendio o industrial.
175,La resistividad del terreno se mide en...,multiple,Ohmios metro|Ohmios|Voltios|Siemens,Ohmios metro,Característica del suelo.
176,Para mejorar una toma de tierra se puede...,multiple,"Añadir más picas, profundizar o usar geles conductores|Echar agua salada temporalmente (no definitivo)|Poner picas más cortas|Aislar las picas","Añadir más picas, profundizar o usar geles conductores",Busca bajar la resistencia de contacto.
177,El 'anillo de distribución' en fontanería garantiza presión más uniforme.,multiple,,Vertader,Alimenta desde dos lados.
178,La 'Junta de dilatación' en tuberías absorbe los cambios de longitud por temperatura.,multiple,,Vertader,Mediante liras o fuelles.
179,El 'golpe de ariete' se produce por...,multiple,Cierre brusco de válvulas|Exceso de caudal|Baja presión|Aire en la tubería,Cierre brusco de válvulas,Onda de presión que puede romper tuberías. Se evita con dispositivos antiariete.
180,Una bomba centrífuga no debe funcionar en seco.,multiple,,Vertader,Se quema el sello mecánico por falta de lubricación/refrigeración.
181,La cavitación en bombas produce...,multiple,"Ruido, erosión y pérdida de rendimiento|Mejor bombeo|Aumento de presión|Enfriamiento","Ruido, erosión y pérdida de rendimiento",Formación de burbujas de vapor por baja presión en aspiración.
182,El vaso de expansión cerrado tiene una membrana y gas (aire/nitrógeno).,multiple,,Vertader,Absorbe la dilatación del agua en calefacción/ACS.
183,"En un suelo radiante, el paso de tubos es más estrecho cerca de las ventanas.",multiple,,Vertader,Para combatir la mayor pérdida térmica por el vidrio.
184,El equilibrado hidráulico es necesario para que todos los radiadores calienten igual.,multiple,,Vertader,Evita que el agua haga 'cortocircuito' por el camino más fácil.
185,Una válvula termostática en radiador regula la temperatura de la habitación.,multiple,,Vertader,Abre o cierra el caudal según Tª ambiente.
186,La biomasa (pellets) tiene balance de CO2 neutro teóricamente.,multiple,,Vertader,El CO2 emitido es el que capturó el árbol al crecer.
187,Una instalación de gas butano requiere rejilla de ventilación inferior.,multiple,,Vertader,El gas pesa más que el aire y se acumula abajo.
188,El 'tiro' de una chimenea depende de la diferencia de temperatura y altura.,multiple,,Vertader,Aire caliente sube por densidad.
189,La energía reactiva se penaliza en la factura eléctrica industrial.,multiple,,Vertader,Si el cos phi es bajo (<0.95). Se corrige con baterías de condensadores.
190,Un vatímetro mide potencia reactiva.,multiple,,Fals,Mide activa (W). El varímetro mide reactiva (var).
191,La selectividad protecciones asegura que salte solo el disyuntor más cercano al fallo.,multiple,,Vertader,Evita apagones generales por un fallo local.
192,El ICP (Interruptor de Control de Potencia) ya está integrado en el contador digital.,multiple,,Vertader,Antes era un aparato físico en el cuadro.
193,"La tarifa de acceso 2.0TD tiene discriminación horaria en 3 periodos (Punta, Llano, Valle).",multiple,,Vertader,Estándar actual para <15kW.
194,El periodo Valle es el más caro.,multiple,,Fals,Es el más barato (noche y fines de semana). Punta es el caro.
195,"En una ICT, el cable de acometida entra por la arqueta de entrada.",multiple,,Vertader,Punto de conexión con operadores.
196,La red de alimentación en ICT une el RITI con el RITS.,multiple,,Fals,"Esa es la red de distribución? No, alimentación es operador->RITI. La que sube es distribución/dispersión vertical."
197,La mezcla de señales TV SAT y Terrestre se hace mediante...,multiple,Mezclador diplexor|Amplificador|Derivador|PAU,Mezclador diplexor,Permite bajar un solo cable con ambas frecuencias.
198,La banda de frecuencias de TV Terrestre (UHF) va de...,multiple,470 a 790 MHz (ahora menos por 5G)|88 a 108 MHz|5 a 2150 MHz|2.4 GHz,470 a 790 MHz (ahora menos por 5G),Recorte por Dividendo Digital (700MHz).
199,La atenuación de un cable coaxial aumenta con la frecuencia.,multiple,,Vertader,Pierde más señal en frecuencias altas (Satélite) que bajas.
200,El cable de pares de cobre telefónico tradicional se llama...,multiple,Par trenzado Cat3 (o par telefónico)|Coaxial|Fibra|Guíaondas,Par trenzado Cat3 (o par telefónico),Uso en telefonía básica (POTS).
201,El reglamento de gas es el RIGLO.,multiple,,Fals,Es el Reglamento Técnico de Distribución y Utilización de Combustibles Gaseosos (RD 919/2006).
202,La presión del gas natural en vivienda es de 20-22 mbar.,multiple,,Vertader,Baja presión domestica.
203,Un vatio es igual a un julio por segundo.,multiple,,Vertader,Definición física de potencia.
204,La Ley de Ohm es V = I * R.,multiple,,Vertader,Física básica.
205,La frecuencia de la red en Europa es 60 Hz.,multiple,,Fals,Es 50 Hz. 60 Hz es América.
206,Un sistema fotovoltaico aislado necesita baterías obligatoriamente para la noche.,multiple,,Vertader,"Si no hay red, se necesita acumulación."
207,El agua caliente pesa menos que la fría.,multiple,,Vertader,"Menor densidad, estratifica arriba."
208,El PVC se puede usar para ACS.,multiple,,Fals,No aguanta temperatura (se ablanda >60ºC). Se usa CPVC o PPR/PEX.
209,Una caldera estanca coge el aire de la habitación.,multiple,,Fals,Lo coge del exterior por tubo coaxial.
210,El rendimiento de una caldera de condensación puede superar el 100% (sobre PCI).,multiple,,Vertader,Al recuperar el calor latente del vapor de agua.
211,El aire primario en climatización es aire tratado exterior.,multiple,,Vertader,Para ventilación.
212,Un difusor rotacional mezcla bien el aire impulsado con el ambiente.,multiple,,Vertader,Alta inducción.
213,La rejilla de retorno suele tener dimensión mayor que la impulsión.,multiple,,Vertader,Para menor velocidad y ruido.
214,El plenum es una caja de distribución de aire.,multiple,,Vertader,Antes de la rejilla o difusor.
215,El caudalímetro mide la presión.,multiple,,Fals,Mide el caudal.
216,El preostato actúa por presión.,multiple,,Vertader,Interruptor de presión.
217,El termostato actúa por temperatura.,multiple,,Vertader,Interruptor de temperatura.
218,Una electroválvula se abre/cierra eléctricamente.,multiple,,Vertader,Control automático.
219,El contactor sirve para maniobrar potencias elevadas.,multiple,,Vertader,El relé es para maniobra (poca potencia).
220,La categoría AC-3 de un contactor es para cargas resistivas.,multiple,,Fals,AC-1 resistivas. AC-3 motores (inductivas).
221,El guardamotor protege contra cortocircuito y sobrecarga del motor.,multiple,,Vertader,Todo en uno ajustado al motor.
222,El arranque estrella-triángulo reduce la corriente de arranque.,multiple,,Vertader,Arranca a menor tensión (1/raiz3).
223,Un variador de frecuencia controla la velocidad de un motor AC.,multiple,,Vertader,Variando Hz.
224,La bomba de calor absorbe calor del foco frío.,multiple,,Vertader,Principios termodinámicos. Parece magia pero es física.
225,El refrigerante R-32 es más ecológico que el R-410A.,multiple,,Vertader,Menor PCA (Potencial Calentamiento Atmosférico).
226,La unidad interior de un aire acondicionado condensa agua en verano.,multiple,,Vertader,Deshumidifica el aire al enfriarlo. Necesita desagüe.
227,La unidad exterior condensa agua en invierno (calefacción).,multiple,,Vertader,La batería exterior se enfría y condensa/escarcha.
228,Es legal unir tierras de antena y eléctrica.,multiple,,Vertader,Es obligatorio (equipotencialidad).
229,La toma de tierra debe ser independiente para el pararrayos.,multiple,,Fals,"Se recomienda unir todas las tierras bajo tierra para equipotencialidad, aunque tenga su pica propia."
230,El lux es lumen partido por metro cuadrado.,multiple,,Vertader,Definición exacta.
