numero,pregunta,tipo,opciones,respuesta_correcta,justificacion
160,Un edificio Tipo C comparte estructura con otros edificios.,multiple,,Fals,Tipo C es aislado (distancia > 3m). Tipo A o B comparten o están adosados.
161,Un edificio Tipo A ocupa solo una parte de un edificio con otros usos.,multiple,,Vertader,Es el caso de mayor riesgo de propagación a otros usuarios.
162,El Nivel de Riesgo Intrínseco se calcula en base a la Carga de Fuego (Qs).,multiple,,Vertader,Densidad de carga de fuego ponderada y corregida.
163,La estabilidad al fuego se representa con la letra E.,multiple,,Fals,Estabilidad es R (Resistencia mecánica). E es Integridad (paso de llamas/gases). I es Aislamiento.
164,"REI 120 significa que el elemento mantiene Resistencia, Integridad y Aislamiento por 120 min.",multiple,,Vertader,Nomenclatura estándar de resistencia al fuego.
165,La sectorización tiene como fin confinar el incendio en un espacio limitado.,multiple,,Vertader,Evita la propagación a todo el edificio.
166,"Si una zona administrativa en una industria supera los 250m2, se aplica el CTE-DB-SI.",multiple,,Vertader,Deja de aplicarse el RSCIEI para esa zona específica.
167,Las zonas de alojamiento de personal no requieren sectorización independiente.,multiple,,Fals,Siempre deben constituir un sector de incendio independiente.
168,El monóxido de carbono (CO) es la principal causa de muerte en incendios.,multiple,,Vertader,Provoca asfixia química al unirse a la hemoglobina.
169,La ocupación (P) se determina exclusivamente por la superficie del sector.,multiple,,Fals,"Se basa en la documentación laboral, aunque el CTE da densidades por defecto."
170,"En edificios Tipo B con riesgo medio/alto y >50 personas, se exigen 2 salidas.",multiple,,Vertader,Requisito adicional del RSCIEI sobre el CTE.
171,Una escalera protegida debe tener ventilación para evitar humos.,multiple,,Vertader,Puede ser natural o mediante presión diferencial.
172,La longitud máxima de recorrido de evacuación es fija e independiente del riesgo.,multiple,,Fals,"Depende del Nivel de Riesgo Intrínseco (Bajo, Medio, Alto). A mayor riesgo, menor distancia."
173,Una escalera especialmente protegida cuenta con un vestíbulo de independencia.,multiple,,Vertader,El vestíbulo (SAS) añade seguridad extra ante el humo.
174,Las escaleras mecánicas pueden contabilizarse siempre como vía de evacuación.,multiple,,Fals,"Generalmente no, salvo excepciones muy concretas y controladas."
175,El pánico puede ser consecuencia de la inhalación de gases tóxicos o hipoxia.,multiple,,Vertader,La desorientación y falta de juicio son síntomas comunes.
176,Las rampas no son válidas como recorrido de evacuación.,multiple,,Fals,Las rampas que cumplen normativa sí son válidas.
177,La altura de evacuación influye en la exigencia de escaleras protegidas.,multiple,,Vertader,"A mayor altura, más requisitos de protección para la escalera."
178,El acero tiene un buen comportamiento natural ante el fuego.,multiple,,Fals,"Pierde resistencia rápidamente con temperatura, requiere protección."
179,La madera es un material isótropo.,multiple,,Fals,Es anisótropo (propiedades diferentes según dirección de fibra).
180,El hormigón pretensado utiliza armaduras activas traccionadas previamente.,multiple,,Vertader,Mejora el comportamiento a tracción del hormigón.
181,Las uniones soldadas en acero son más fáciles de ejecutar en obra que las atornilladas.,multiple,,Fals,"Requieren soldadores cualificados y control, las atornilladas son más rápidas en obra."
182,"La estructura debe soportar cargas fijas (peso propio) y variables (uso, viento, nieve).",multiple,,Vertader,Es la función básica de sustento.
183,"En naves industriales, la estética es siempre el factor más importante.",multiple,,Fals,"Suele primar el coste, plazo y funcionalidad."
184,Los forjados reticulares son unidireccionales.,multiple,,Fals,"Son bidireccionales, transmiten cargas en dos direcciones."
185,La chapa colaborante actúa como encofrado y armadura de positivo.,multiple,,Vertader,La chapa de acero trabaja a tracción y el hormigón a compresión.
186,Las correas son elementos estructurales que soportan la cubierta.,multiple,,Vertader,Transmiten la carga de la cubierta a los pórticos.
187,Una cercha o armadura es un elemento estructural macizo.,multiple,,Fals,"Está formada por barras unidas en nudos (triangulación), es aligerada."
188,La flecha es la deformación vertical de una viga.,multiple,,Vertader,Debe limitarse por normativa.
189,El pandeo es un fenómeno de inestabilidad en elementos traccionados.,multiple,,Fals,Se produce en elementos comprimidos esbeltos (ej. pilares).
190,Las uniones en madera son puntos críticos de la estructura.,multiple,,Vertader,Debido a la anisotropía y dificultad de transmitir momentos.
191,El hormigón es un material que trabaja muy bien a tracción.,multiple,,Fals,"Trabaja bien a compresión, por eso se arma con acero para la tracción."
192,Los pilares prefabricados de hormigón agilizan el montaje.,multiple,,Vertader,Es una de las principales ventajas de la prefabricación.
193,La carga de nieve es una acción accidental.,multiple,,Fals,"Es una acción variable climática, no accidental (como sismo o incendio)."
194,El CTE es el Código Técnico de la Edificación.,multiple,,Vertader,Normativa de referencia en España.
195,La vida útil de una estructura industrial suele ser infinita.,multiple,,Fals,Se diseña para una vida útil determinada (ej. 50 años).
196,El mantenimiento de la estructura de acero es menor que la de hormigón.,multiple,,Fals,El acero suele requerir más mantenimiento (pintura) que el hormigón.
197,El Planeamiento Urbanístico Municipal es competencia exclusiva del Estado.,multiple,,Fals,Es competencia municipal (con aprobación definitiva autonómica).
198,Los Planes Directores Urbanísticos (PDU) tienen un ámbito supramunicipal.,multiple,,Vertader,Coordinan la planificación de varios municipios o comarcas.
199,"El POUM clasifica el suelo en Urbano, Urbanizable y No Urbanizable.",multiple,,Vertader,Es la función básica de clasificación del suelo del planeamiento general.
200,Un Plan Parcial desarrolla la ordenación de un sector de suelo urbano consolidado.,multiple,,Fals,Los Planes Parciales desarrollan suelo urbanizable. En urbano se usan Planes Especiales o de Mejora Urbana.
201,La 'Clasificación' del suelo determina su régimen jurídico básico (Urbano/Urbanizable...).,multiple,,Vertader,Divide el término municipal en estas clases.
202,La 'Calificación' del suelo asigna usos y tipologías edificatorias (zonas).,multiple,,Vertader,"Define qué se puede construir (industrial, residencial, verde...) en cada zona."
203,Un solar es una parcela que cuenta con todos los servicios urbanísticos básicos.,multiple,,Vertader,"Acceso rodado, agua, saneamiento y suministro eléctrico."
204,El suelo urbanizable delimitado puede edificarse directamente sin plan parcial.,multiple,,Fals,Requiere desarrollo mediante Plan Parcial y Proyecto de Reparcelación/Urbanización.
205,Los Planes Especiales Urbanísticos pueden utilizarse para proteger recintos históricos.,multiple,,Vertader,Es una de sus funciones (PE de protección del patrimonio).
206,La licencia de obras la concede el colegio de arquitectos.,multiple,,Fals,La concede el Ayuntamiento.
207,"El Proyecto de Urbanización define las obras de viales y servicios, no la edificación.",multiple,,Vertader,Se centra en el espacio público e infraestructuras.
208,En el suelo no urbanizable está prohibida cualquier tipo de construcción.,multiple,,Fals,"Se permiten construcciones ligadas a la explotación agrícola/ganadera o de interés público, con limitaciones."
209,El aprovechamiento urbanístico se expresa habitualmente en m2 de techo / m2 de suelo.,multiple,,Vertader,Es el índice de edificabilidad.
210,La reparcelación tiene como objeto distribuir justamente los beneficios y cargas del planeamiento.,multiple,,Vertader,Equidistribución entre propietarios del sector.
211,La cesión de suelo para zonas verdes y equipamientos es obligatoria y gratuita.,multiple,,Vertader,Es una de las cargas de la transformación urbanística.
212,La actividad industrial se puede implantar en cualquier zona calificada como residencial.,multiple,,Fals,"Solo si es compatible (ej. talleres pequeños), pero la industria pesada requiere zona industrial."
213,El Catastro es un registro administrativo que depende del Ministerio de Hacienda.,multiple,,Vertader,"Recoge la descripción física, económica y jurídica de los bienes inmuebles."
214,La referencia catastral es un identificador único de cada inmueble.,multiple,,Vertader,Permite localizarlo inequívocamente.
215,La función primaria de una estructura es aislar térmicamente el edificio.,multiple,,Fals,Su función es resistir cargas. El aislamiento es función de los cerramientos.
216,"Una estructura debe ser estable, resistente y rígida (poco deformable).",multiple,,Vertader,Son los tres requisitos básicos de la mecánica estructural.
217,El factor económico no suele influir en el diseño de estructuras industriales.,multiple,,Fals,Es determinante. Se busca la solución más rentable que cumpla los requisitos.
218,El acero resiste muy bien la tracción pero mal la compresión por pandeo.,multiple,,Vertader,Los elementos esbeltos de acero pandean fácilmente a compresión.
219,El hormigón en masa (sin armar) resiste perfectamente los esfuerzos de tracción.,multiple,,Fals,Su resistencia a tracción es despreciable; por eso se arma con acero.
220,El hormigón pretensado reduce la fisuración respecto al hormigón armado convencional.,multiple,,Vertader,La compresión inicial cierra las posibles fisuras de tracción.
221,El peso específico del acero es aproximadamente 7850 kg/m3.,multiple,,Vertader,Es mucho más denso que el hormigón (2500 kg/m3).
222,Las uniones soldadas permiten mayor tolerancia en el montaje que las atornilladas.,multiple,,Vertader,Se puede ajustar in situ soldando. Los tornillos requieren agujeros precisos (o rasgados).
223,La estructura metálica requiere menos mantenimiento que la de hormigón.,multiple,,Fals,Requiere protección periódica contra corrosión y fuego.
224,El forjado colaborante utiliza chapa grecada y hormigón.,multiple,,Vertader,Forman una sección mixta.
225,Un forjado unidireccional transmite la carga en dos direcciones perpendiculares.,multiple,,Fals,"Solo en una dirección, hacia las vigas de apoyo."
226,Las placas alveolares son elementos prefabricados de hormigón pretensado.,multiple,,Vertader,Muy usadas en industria por sus grandes luces y capacidad de carga.
227,La capa de compresión en un forjado de viguetas tiene función de reparto de cargas.,multiple,,Vertader,Evita el punzonamiento y solidariza el conjunto.
228,Los forjados reticulares son un tipo de forjado bidireccional.,multiple,,Vertader,Forman una retícula de nervios en dos direcciones.
229,La bovedilla es el elemento resistente principal del forjado.,multiple,,Fals,Es un elemento aligerante. El resistente es la vigueta/nervio.
230,"En estructuras industriales, la estética suele primar sobre la funcionalidad.",multiple,,Fals,La funcionalidad y el coste son prioritarios.
231,La madera laminada encolada permite salvar luces mayores que la madera aserrada maciza.,multiple,,Vertader,Permite fabricar vigas de gran canto y longitud sin defectos.
232,El pandeo lateral (vuelco) es un riesgo en vigas metálicas esbeltas.,multiple,,Vertader,Requiere arriostramiento lateral.
233,Las correas suelen ser perfiles conformados en frío (tipo Z o C).,multiple,,Vertader,Son ligeros y eficientes para soportar la cubierta.
234,Un pórtico triarticulado es una estructura isostática.,multiple,,Vertader,"Tiene tres articulaciones (dos en apoyos, una en clave), determinable por estática."
235,"En el Diagrama de Bloques, los almacenes se representan como triángulos invertidos habitualmente.",multiple,,Vertader,"Es una convención común (aunque el texto dice que se consideran procesos/bloques, la forma gráfica suele diferir)."
236,Un output doméstico de una industria puede ser el papel de oficina.,multiple,,Vertader,Es un residuo asimilable a urbano.
237,El agua de proceso siempre se convierte en vapor y no genera vertido.,multiple,,Fals,Muchas veces genera aguas residuales industriales que requieren depuración.
238,La capacidad de producción de una máquina nunca puede superar la de la línea.,multiple,,Fals,Puede tener mayor capacidad y trabajar menos horas (cuello de botella en otro lado).
239,El diagrama de flujo debe indicar las cantidades de materia que pasan por cada línea.,multiple,,Vertader,Es su diferencia principal con el de bloques simple.
240,Los residuos peligrosos se pueden mezclar con los banales para ahorrar costes.,multiple,,Fals,Está terminantemente prohibido y penado. Deben gestionarse por separado.
241,El Balance de Materias cumple que Entradas = Salidas + Acumulación.,multiple,,Vertader,Principio de conservación de la masa (Lavoisier).
242,"En un diagrama de bloques, las flechas indican la dirección del flujo de materiales.",multiple,,Vertader,Conectan los procesos secuencialmente.
243,La temperatura de autoignición siempre es menor que la de inflamación.,multiple,,Fals,Es mayor. Es la temperatura a la que arde espontáneamente sin llama externa.
244,Una reacción endotérmica desprende calor.,multiple,,Fals,Absorbe calor. La combustión es exotérmica.
245,El 'flashover' es la ignición súbita generalizada de todos las superficies combustibles.,multiple,,Vertader,Marca el paso a la fase de incendio totalmente desarrollado.
246,Los detectores iónicos son más rápidos para humos invisibles que los ópticos.,multiple,,Vertader,Detectan partículas más pequeñas de combustión rápida.
247,Una BIE de 25mm es de manguera semirrígida.,multiple,,Vertader,Permite usarse sin desenrollar del todo. La de 45mm es plana.
248,Los rociadores automáticos (sprinklers) se activan todos a la vez por defecto.,multiple,,Fals,"Se activan individualmente por temperatura (fusible), salvo sistemas de diluvio."
249,La resistencia al fuego 'EI' garantiza estabilidad mecánica.,multiple,,Fals,Garantiza Integridad (E) y Aislamiento (I). La Estabilidad es 'R'.
250,Un muro cortafuegos debe resistir el fuego y además el empuje mecánico por impacto.,multiple,,Vertader,Debe mantener la sectorización incluso ante colapso estructural parcial.
251,Las puertas cortafuego deben tener un dispositivo de cierre automático.,multiple,,Vertader,Si están abiertas no sirven. Deben cerrarse tras el paso o por alarma.
252,La señalización de evacuación debe ser fotoluminiscente.,multiple,,Vertader,Para ser visible en caso de fallo de iluminación.
253,El alumbrado de emergencia debe garantizar 1 lux en el eje de los recorridos.,multiple,,Vertader,Mínimo normativo para evacuación.
254,"En un edificio industrial Tipo A, la estructura compartida debe tener resistencia al fuego aumentada.",multiple,,Vertader,Para proteger a los otros usuarios del edificio.
255,El cálculo de la carga de fuego ponderada tiene en cuenta la peligrosidad de los combustibles (Ra).,multiple,,Vertader,Coeficiente de peligrosidad según la actividad.
256,El tiempo de evacuación no depende del ancho de las salidas.,multiple,,Fals,Depende directamente del ancho (hipótesis de flujo de personas).
257,Una salida de emergencia puede estar bloqueada con llave durante la jornada laboral.,multiple,,Fals,Debe ser abrible fácilmente desde el interior (barra antipánico).
258,La presión diferencial en escaleras evita la entrada de humo.,multiple,,Vertader,Mantiene la escalera a sobrepresión respecto al sector incendiado.
259,Los extintores de CO2 son idóneos para cuadros eléctricos.,multiple,,Vertader,No dejan residuo y no son conductores (gas dieléctrico).
260,Un extintor de agua es apto para fuegos de gasolina (Clase B).,multiple,,Fals,El agua extiende el líquido inflamable. Se requiere espuma o polvo.
261,El diagrama de recorrido (spaghetti chart) ayuda a identificar ineficiencias en el movimiento.,multiple,,Vertader,Visualiza el caos de trayectorias en planta.
262,"En la distribución en U, la entrada y salida de materiales están próximas.",multiple,,Vertader,Facilita compartir muelles y personal de logística.
263,La ficha de máquina debe incluir el peso del equipo.,multiple,,Vertader,Dato crítico para calcular la sobrecarga en forjados.
264,El 'layout' detallado incluye la posición de las tomas de corriente y aire.,multiple,,Vertader,Necesario para la instalación de servicios a maquinaria.
265,Los pasillos de circulación de carretillas deben tener el mismo ancho que la carretilla.,multiple,,Fals,Deben tener holgura de seguridad (ej. ancho + 1 metro).
266,Es recomendable situar las zonas de oficinas cerca de las zonas más ruidosas de la fábrica.,multiple,,Fals,Se busca lo contrario: confort acústico y separación de riesgos.
267,La ubicación de los vestuarios debe minimizar el tiempo de acceso al puesto de trabajo.,multiple,,Vertader,Eficiencia en cambios de turno.
268,El nivel freático indica la profundidad a la que se encuentra agua subterránea.,multiple,,Vertader,Afecta a la excavación y cimentación (impermeabilización).
269,Un terreno de relleno antrópico es ideal para cimentar sin tratamiento.,multiple,,Fals,Suele ser inestable y asentable. Requiere mejora o cimentación profunda.
270,La cohesión es una propiedad típica de las arenas limpias.,multiple,,Fals,Las arenas no tienen cohesión (suelos granulares). Es típica de arcillas.
271,El ensayo Proctor determina la compacidad óptima de un suelo para relleno.,multiple,,Vertader,Relaciona humedad y densidad.
272,El CTE-DB-SI es el Documento Básico de Seguridad en caso de Incendio.,multiple,,Vertader,Normativa marco de edificación (no industrial específica).
273,Un lucernario en cubierta puede actuar como exutorio de humos si está diseñado para ello.,multiple,,Vertader,Deben tener apertura automática o fusible.
274,Las naves nido son aquellas que no tienen actividad definida.,multiple,,Vertader,Se construyen para alquiler/venta genérica.
275,La altura libre de una nave limita la altura de estanterías y maquinaria.,multiple,,Vertader,Parámetro geométrico restrictivo.
276,El pavimento industrial debe resistir el punzonamiento de las estanterías.,multiple,,Vertader,Cargas concentradas muy altas en las patas.
277,Las juntas de dilatación en estructura son necesarias en edificios muy largos.,multiple,,Vertader,Para absorber movimientos térmicos y evitar fisuras.
278,La iluminación natural en industria no es recomendable.,multiple,,Fals,"Es muy recomendable por ahorro energético y confort, evitando deslumbramientos."
279,Un puente grúa apoya sobre las vigas carrileras.,multiple,,Vertader,Estructura auxiliar para movimiento de cargas pesadas.
280,La carga de viento succiona (tira hacia arriba) las cubiertas ligeras.,multiple,,Vertader,"Efecto de succión, riesgo de desprendimiento."
281,El aislamiento térmico en cubierta evita condensaciones interiores.,multiple,,Vertader,Punto frío donde condensa la humedad del proceso.
282,El amianto (fibrocemento antiguo) es un material peligroso que debe retirarse por especialistas.,multiple,,Vertader,"Cancerígeno, normativa estricta de desamiantado."
283,Las instalaciones de aire comprimido suelen ser anillos cerrados para mantener presión.,multiple,,Vertader,Evitan caídas de presión al final de línea.
284,El factor de forma de un edificio influye en sus pérdidas energéticas.,multiple,,Vertader,Más compacidad = menos superficie de transmisión térmica.
285,"La edificabilidad neta se aplica sobre la parcela, descontando cesiones.",multiple,,Vertader,Diferencia con la bruta (sobre el sector).
286,El retranqueo es la separación obligatoria de la edificación a los lindes.,multiple,,Vertader,Parámetro urbanístico común.
287,La altura reguladora máxima limita la altura de cornisa del edificio.,multiple,,Vertader,"No se puede sobrepasar, salvo excepciones tecnológicas."
288,El uso permitido principal define la actividad mayoritaria de la zona.,multiple,,Vertader,Puede haber usos compatibles o prohibidos.
289,La licencia de primera ocupación verifica que la obra coincide con el proyecto.,multiple,,Vertader,Trámite final para legalizar el uso.
290,El proyecto de actividad sirve para obtener la licencia ambiental o de apertura.,multiple,,Vertader,"Justifica cumplimiento de normativas de la actividad (ruido, fuego, residuos)."
291,El visado colegial garantiza la calidad técnica del proyecto.,multiple,,Fals,"Garantiza la habilitación del autor y la integridad formal, no la corrección técnica profunda."
292,El director de obra dirige la ejecución material de la obra.,multiple,,Fals,Ese es el Director de Ejecución (Aparejador). El Director de Obra (Arquitecto/Ingeniero) dirige la obra en aspectos técnicos/estéticos/urbanísticos.
293,El Estudio de Seguridad y Salud es obligatorio en proyectos de obras.,multiple,,Vertader,Evalúa riesgos laborales durante la construcción.
294,La coordinación de actividades empresariales es necesaria cuando concurren varias empresas.,multiple,,Vertader,Prevención de riesgos compartidos.
295,"Un residuo inerte es aquel que no experimenta transformaciones físicas, químicas o biológicas significativas.",multiple,,Vertader,"Escombros limpios, vidrio, etc."
296,"La regla de las 3R es: Reciclar, Reutilizar, Revalorizar.",multiple,,Fals,"Es Reducir, Reutilizar, Reciclar."
297,La economía circular busca mantener los productos y materiales en uso el mayor tiempo posible.,multiple,,Vertader,Minimizar residuos y extracción de recursos.
298,El análisis de ciclo de vida (ACV) evalúa el impacto ambiental desde la cuna a la tumba.,multiple,,Vertader,Metodología estándar de sostenibilidad.
299,La certificación energética es obligatoria para edificios industriales.,multiple,,Fals,Solo para las zonas de oficinas o si están climatizados/son para personas. Naves almacén/producción suelen estar exentas.
300,El marcado CE es obligatorio para los productos de construcción.,multiple,,Vertader,Garantía de conformidad europea.
301,La dirección facultativa está compuesta únicamente por el constructor.,multiple,,Fals,La forman el Director de Obra y el Director de Ejecución.
302,El Libro del Edificio recoge la documentación final de obra y mantenimiento.,multiple,,Vertader,Se entrega al propietario al finalizar.
303,"Una nave 'llave en mano' incluye proyecto, construcción y puesta en marcha.",multiple,,Vertader,Modalidad de contrato integral.
304,El Project Manager actúa como representante de la propiedad.,multiple,,Vertader,"Gestiona costes, plazos y calidad en nombre del cliente."
